pattern_id,point_index,x,z
P1,0,0.0,9.5
P1,1,-8.227241,-4.75
P1,2,8.227241,-4.75
P2,0,6.363961,6.363961
P2,1,-6.363961,6.363961
P2,2,-6.363961,-6.363961
P2,3,6.363961,-6.363961
P3,0,8.08398,2.626644
P3,1,0.0,8.5
P3,2,-8.08398,2.626644
P3,3,-4.996175,-6.876644
P3,4,4.996175,-6.876644
P4,0,8.0,0.0
P4,1,4.0,6.928203
P4,2,-4.0,6.928203
P4,3,-8.0,0.0
P4,4,-4.0,-6.928203
P4,5,4.0,-6.928203
P5,0,7.336107,1.559338
P5,1,3.354849,6.707831
P5,2,-3.152679,6.80519
P5,3,-7.286175,1.778103
P5,4,-5.933033,-4.587932
P5,5,-0.112196,-7.499161
P5,6,5.793127,-4.763368
P6,0,6.467157,2.678784
P6,1,2.678784,6.467157
P6,2,-2.678784,6.467157
P6,3,-6.467157,2.678784
P6,4,-6.467157,-2.678784
P6,5,-2.678784,-6.467157
P6,6,2.678784,-6.467157
P6,7,6.467157,-2.678784
P7,0,0.0,10.0
P7,1,-2.645034,3.640576
P7,2,-9.510565,3.09017
P7,3,-4.279754,-1.390576
P7,4,-5.877853,-8.09017
P7,5,-0.0,-4.5
P7,6,5.877853,-8.09017
P7,7,4.279754,-1.390576
P7,8,9.510565,3.09017
P7,9,2.645034,3.640576
P8,0,9.5,0.0
P8,1,4.503332,2.6
P8,2,4.75,8.227241
P8,3,0.0,5.2
P8,4,-4.75,8.227241
P8,5,-4.503332,2.6
P8,6,-9.5,0.0
P8,7,-4.503332,-2.6
P8,8,-4.75,-8.227241
P8,9,-0.0,-5.2
P8,10,4.75,-8.227241
P8,11,4.503332,-2.6
P9,0,5.908847,1.041889
P9,1,4.596267,3.856726
P9,2,2.052121,5.638156
P9,3,-1.041889,5.908847
P9,4,-3.856726,4.596267
P9,5,-5.638156,2.052121
P9,6,-5.908847,-1.041889
P9,7,-4.596267,-3.856726
P9,8,-2.052121,-5.638156
P9,9,1.041889,-5.908847
P9,10,3.856726,-4.596267
P9,11,5.638156,-2.052121
P10,0,3.984779,0.348623
P10,1,3.548043,1.846994
P10,2,2.57115,3.064178
P10,3,1.202823,3.814868
P10,4,-0.348623,3.984779
P10,5,-1.846994,3.548043
P10,6,-3.064178,2.57115
P10,7,-3.814868,1.202823
P10,8,-3.984779,-0.348623
P10,9,-3.548043,-1.846994
P10,10,-2.57115,-3.064178
P10,11,-1.202823,-3.814868
P10,12,0.348623,-3.984779
P10,13,1.846994,-3.548043
P10,14,3.064178,-2.57115
P10,15,3.814868,-1.202823
