pattern_id,point_index,x,z
geo_01,0,8.0000000000,0.0000000000
geo_01,1,7.9561751629,0.8362277061
geo_01,2,7.8251808059,1.6632935265
geo_01,3,7.6084521304,2.4721359550
geo_01,4,7.3083636611,3.2538931446
geo_01,5,6.9282032303,4.0000000000
geo_01,6,6.4721359550,4.7022820183
geo_01,7,5.9451586038,5.3530448509
geo_01,8,5.3530448509,5.9451586038
geo_01,9,4.7022820183,6.4721359550
geo_01,10,4.0000000000,6.9282032303
geo_01,11,3.2538931446,7.3083636611
geo_01,12,2.4721359550,7.6084521304
geo_01,13,1.6632935265,7.8251808059
geo_01,14,0.8362277061,7.9561751629
geo_01,15,0.0000000000,8.0000000000
geo_01,16,-0.8362277061,7.9561751629
geo_01,17,-1.6632935265,7.8251808059
geo_01,18,-2.4721359550,7.6084521304
geo_01,19,-3.2538931446,7.3083636611
geo_01,20,-4.0000000000,6.9282032303
geo_01,21,-4.7022820183,6.4721359550
geo_01,22,-5.3530448509,5.9451586038
geo_01,23,-5.9451586038,5.3530448509
geo_01,24,-6.4721359550,4.7022820183
geo_01,25,-6.9282032303,4.0000000000
geo_01,26,-7.3083636611,3.2538931446
geo_01,27,-7.6084521304,2.4721359550
geo_01,28,-7.8251808059,1.6632935265
geo_01,29,-7.9561751629,0.8362277061
geo_01,30,-8.0000000000,0.0000000000
geo_01,31,-7.9561751629,-0.8362277061
geo_01,32,-7.8251808059,-1.6632935265
geo_01,33,-7.6084521304,-2.4721359550
geo_01,34,-7.3083636611,-3.2538931446
geo_01,35,-6.9282032303,-4.0000000000
geo_01,36,-6.4721359550,-4.7022820183
geo_01,37,-5.9451586038,-5.3530448509
geo_01,38,-5.3530448509,-5.9451586038
geo_01,39,-4.7022820183,-6.4721359550
geo_01,40,-4.0000000000,-6.9282032303
geo_01,41,-3.2538931446,-7.3083636611
geo_01,42,-2.4721359550,-7.6084521304
geo_01,43,-1.6632935265,-7.8251808059
geo_01,44,-0.8362277061,-7.9561751629
geo_01,45,-0.0000000000,-8.0000000000
geo_01,46,0.8362277061,-7.9561751629
geo_01,47,1.6632935265,-7.8251808059
geo_01,48,2.4721359550,-7.6084521304
geo_01,49,3.2538931446,-7.3083636611
geo_01,50,4.0000000000,-6.9282032303
geo_01,51,4.7022820183,-6.4721359550
geo_01,52,5.3530448509,-5.9451586038
geo_01,53,5.9451586038,-5.3530448509
geo_01,54,6.4721359550,-4.7022820183
geo_01,55,6.9282032303,-4.0000000000
geo_01,56,7.3083636611,-3.2538931446
geo_01,57,7.6084521304,-2.4721359550
geo_01,58,7.8251808059,-1.6632935265
geo_01,59,7.9561751629,-0.8362277061
geo_02,0,8.0000000000,8.0000000000
geo_02,1,6.9333333333,8.0000000000
geo_02,2,5.8666666667,8.0000000000
geo_02,3,4.8000000000,8.0000000000
geo_02,4,3.7333333333,8.0000000000
geo_02,5,2.6666666667,8.0000000000
geo_02,6,1.6000000000,8.0000000000
geo_02,7,0.5333333333,8.0000000000
geo_02,8,-0.5333333333,8.0000000000
geo_02,9,-1.6000000000,8.0000000000
geo_02,10,-2.6666666667,8.0000000000
geo_02,11,-3.7333333333,8.0000000000
geo_02,12,-4.8000000000,8.0000000000
geo_02,13,-5.8666666667,8.0000000000
geo_02,14,-6.9333333333,8.0000000000
geo_02,15,8.0000000000,8.0000000000
geo_02,16,8.0000000000,6.9333333333
geo_02,17,8.0000000000,5.8666666667
geo_02,18,8.0000000000,4.8000000000
geo_02,19,8.0000000000,3.7333333333
geo_02,20,8.0000000000,2.6666666667
geo_02,21,8.0000000000,1.6000000000
geo_02,22,8.0000000000,0.5333333333
geo_02,23,8.0000000000,-0.5333333333
geo_02,24,8.0000000000,-1.6000000000
geo_02,25,8.0000000000,-2.6666666667
geo_02,26,8.0000000000,-3.7333333333
geo_02,27,8.0000000000,-4.8000000000
geo_02,28,8.0000000000,-5.8666666667
geo_02,29,8.0000000000,-6.9333333333
geo_02,30,-8.0000000000,-8.0000000000
geo_02,31,-6.9333333333,-8.0000000000
geo_02,32,-5.8666666667,-8.0000000000
geo_02,33,-4.8000000000,-8.0000000000
geo_02,34,-3.7333333333,-8.0000000000
geo_02,35,-2.6666666667,-8.0000000000
geo_02,36,-1.6000000000,-8.0000000000
geo_02,37,-0.5333333333,-8.0000000000
geo_02,38,0.5333333333,-8.0000000000
geo_02,39,1.6000000000,-8.0000000000
geo_02,40,2.6666666667,-8.0000000000
geo_02,41,3.7333333333,-8.0000000000
geo_02,42,4.8000000000,-8.0000000000
geo_02,43,5.8666666667,-8.0000000000
geo_02,44,6.9333333333,-8.0000000000
geo_02,45,-8.0000000000,-8.0000000000
geo_02,46,-8.0000000000,-6.9333333333
geo_02,47,-8.0000000000,-5.8666666667
geo_02,48,-8.0000000000,-4.8000000000
geo_02,49,-8.0000000000,-3.7333333333
geo_02,50,-8.0000000000,-2.6666666667
geo_02,51,-8.0000000000,-1.6000000000
geo_02,52,-8.0000000000,-0.5333333333
geo_02,53,-8.0000000000,0.5333333333
geo_02,54,-8.0000000000,1.6000000000
geo_02,55,-8.0000000000,2.6666666667
geo_02,56,-8.0000000000,3.7333333333
geo_02,57,-8.0000000000,4.8000000000
geo_02,58,-8.0000000000,5.8666666667
geo_02,59,-8.0000000000,6.9333333333
geo_03,0,10.3923048454,0.0000000000
geo_03,1,9.7977577179,1.0297858323
geo_03,2,9.2563672671,1.9675015999
geo_03,3,8.7507331616,2.8432855607
geo_03,4,8.2671976928,3.6807935599
geo_03,5,7.7942286341,4.5000000000
geo_03,6,7.3212595754,5.3192064401
geo_03,7,6.8377241065,6.1567144393
geo_03,8,6.3320900010,7.0324984001
geo_03,9,5.7906995502,7.9702141677
geo_03,10,4.5000000000,7.7942286341
geo_03,11,3.6807935599,8.2671976928
geo_03,12,2.8432855607,8.7507331616
geo_03,13,1.9675015999,9.2563672671
geo_03,14,1.0297858323,9.7977577179
geo_03,15,0.0000000000,10.3923048454
geo_03,16,-1.1628385756,11.0636700101
geo_03,17,-2.5179549843,11.8460468334
geo_03,18,-4.1563678644,12.7919849508
geo_03,19,-6.2278353759,13.9879472762
geo_03,20,-5.1961524227,9.0000000000
geo_03,21,-5.7906995502,7.9702141677
geo_03,22,-6.3320900010,7.0324984001
geo_03,23,-6.8377241065,6.1567144393
geo_03,24,-7.3212595754,5.3192064401
geo_03,25,-7.7942286341,4.5000000000
geo_03,26,-8.2671976928,3.6807935599
geo_03,27,-8.7507331616,2.8432855607
geo_03,28,-9.2563672671,1.9675015999
geo_03,29,-9.7977577179,1.0297858323
geo_03,30,-10.3923048454,0.0000000000
geo_03,31,-9.0000000000,-0.9459381174
geo_03,32,-9.0000000000,-1.9130090550
geo_03,33,-9.0000000000,-2.9242772661
geo_03,34,-9.0000000000,-4.0070581678
geo_03,35,-9.0000000000,-5.1961524227
geo_03,36,-9.0000000000,-6.5388827520
geo_03,37,-9.0000000000,-8.1036363987
geo_03,38,-9.0000000000,-9.9955126335
geo_03,39,-9.0000000000,-12.3874372842
geo_03,40,-5.1961524227,-9.0000000000
geo_03,41,-4.0070581678,-9.0000000000
geo_03,42,-2.9242772661,-9.0000000000
geo_03,43,-1.9130090550,-9.0000000000
geo_03,44,-0.9459381174,-9.0000000000
geo_03,45,-0.0000000000,-9.0000000000
geo_03,46,0.9459381174,-9.0000000000
geo_03,47,1.9130090550,-9.0000000000
geo_03,48,2.9242772661,-9.0000000000
geo_03,49,4.0070581678,-9.0000000000
geo_03,50,4.5000000000,-7.7942286341
geo_03,51,5.3192064401,-7.3212595754
geo_03,52,6.1567144393,-6.8377241065
geo_03,53,7.0324984001,-6.3320900010
geo_03,54,7.9702141677,-5.7906995502
geo_03,55,9.0000000000,-5.1961524227
geo_03,56,10.1628385756,-4.5247872580
geo_03,57,11.5179549843,-3.7424104347
geo_03,58,13.1563678644,-2.7964723173
geo_03,59,15.2278353759,-1.6005099919
geo_04,0,9.0000000000,0.0000000000
geo_04,1,8.9506970583,0.9407561694
geo_04,2,8.8033284066,1.8712052174
geo_04,3,8.5595086467,2.7811529494
geo_04,4,8.2219091188,3.6606297877
geo_04,5,3.8971143170,2.2500000000
geo_04,6,3.6405764747,2.6450336353
geo_04,7,3.3441517146,3.0110877286
geo_04,8,3.0110877286,3.3441517146
geo_04,9,2.6450336353,3.6405764747
geo_04,10,4.5000000000,7.7942286341
geo_04,11,3.6606297877,8.2219091188
geo_04,12,2.7811529494,8.5595086467
geo_04,13,1.8712052174,8.8033284066
geo_04,14,0.9407561694,8.9506970583
geo_04,15,0.0000000000,4.5000000000
geo_04,16,-0.4703780847,4.4753485292
geo_04,17,-0.9356026087,4.4016642033
geo_04,18,-1.3905764747,4.2797543233
geo_04,19,-1.8303148938,4.1109545594
geo_04,20,-4.5000000000,7.7942286341
geo_04,21,-5.2900672706,7.2811529494
geo_04,22,-6.0221754572,6.6883034293
geo_04,23,-6.6883034293,6.0221754572
geo_04,24,-7.2811529494,5.2900672706
geo_04,25,-3.8971143170,2.2500000000
geo_04,26,-4.1109545594,1.8303148938
geo_04,27,-4.2797543233,1.3905764747
geo_04,28,-4.4016642033,0.9356026087
geo_04,29,-4.4753485292,0.4703780847
geo_04,30,-9.0000000000,0.0000000000
geo_04,31,-8.9506970583,-0.9407561694
geo_04,32,-8.8033284066,-1.8712052174
geo_04,33,-8.5595086467,-2.7811529494
geo_04,34,-8.2219091188,-3.6606297877
geo_04,35,-3.8971143170,-2.2500000000
geo_04,36,-3.6405764747,-2.6450336353
geo_04,37,-3.3441517146,-3.0110877286
geo_04,38,-3.0110877286,-3.3441517146
geo_04,39,-2.6450336353,-3.6405764747
geo_04,40,-4.5000000000,-7.7942286341
geo_04,41,-3.6606297877,-8.2219091188
geo_04,42,-2.7811529494,-8.5595086467
geo_04,43,-1.8712052174,-8.8033284066
geo_04,44,-0.9407561694,-8.9506970583
geo_04,45,-0.0000000000,-4.5000000000
geo_04,46,0.4703780847,-4.4753485292
geo_04,47,0.9356026087,-4.4016642033
geo_04,48,1.3905764747,-4.2797543233
geo_04,49,1.8303148938,-4.1109545594
geo_04,50,4.5000000000,-7.7942286341
geo_04,51,5.2900672706,-7.2811529494
geo_04,52,6.0221754572,-6.6883034293
geo_04,53,6.6883034293,-6.0221754572
geo_04,54,7.2811529494,-5.2900672706
geo_04,55,3.8971143170,-2.2500000000
geo_04,56,4.1109545594,-1.8303148938
geo_04,57,4.2797543233,-1.3905764747
geo_04,58,4.4016642033,-0.9356026087
geo_04,59,4.4753485292,-0.4703780847
geo_05,0,9.0000000000,0.0000000000
geo_05,1,8.9506970583,0.6271707796
geo_05,2,8.8033284066,1.2474701449
geo_05,3,8.5595086467,1.8541019662
geo_05,4,8.2219091188,2.4404198585
geo_05,5,7.7942286341,3.0000000000
geo_05,6,7.2811529494,3.5267115138
geo_05,7,6.6883034293,4.0147836382
geo_05,8,6.0221754572,4.4588689529
geo_05,9,5.2900672706,4.8541019662
geo_05,10,4.5000000000,5.1961524227
geo_05,11,3.6606297877,5.4812727459
geo_05,12,2.7811529494,5.7063390978
geo_05,13,1.8712052174,5.8688856044
geo_05,14,0.9407561694,5.9671313722
geo_05,15,0.0000000000,6.0000000000
geo_05,16,-0.9407561694,5.9671313722
geo_05,17,-1.8712052174,5.8688856044
geo_05,18,-2.7811529494,5.7063390978
geo_05,19,-3.6606297877,5.4812727459
geo_05,20,-4.5000000000,5.1961524227
geo_05,21,-5.2900672706,4.8541019662
geo_05,22,-6.0221754572,4.4588689529
geo_05,23,-6.6883034293,4.0147836382
geo_05,24,-7.2811529494,3.5267115138
geo_05,25,-7.7942286341,3.0000000000
geo_05,26,-8.2219091188,2.4404198585
geo_05,27,-8.5595086467,1.8541019662
geo_05,28,-8.8033284066,1.2474701449
geo_05,29,-8.9506970583,0.6271707796
geo_05,30,-9.0000000000,0.0000000000
geo_05,31,-8.9506970583,-0.6271707796
geo_05,32,-8.8033284066,-1.2474701449
geo_05,33,-8.5595086467,-1.8541019662
geo_05,34,-8.2219091188,-2.4404198585
geo_05,35,-7.7942286341,-3.0000000000
geo_05,36,-7.2811529494,-3.5267115138
geo_05,37,-6.6883034293,-4.0147836382
geo_05,38,-6.0221754572,-4.4588689529
geo_05,39,-5.2900672706,-4.8541019662
geo_05,40,-4.5000000000,-5.1961524227
geo_05,41,-3.6606297877,-5.4812727459
geo_05,42,-2.7811529494,-5.7063390978
geo_05,43,-1.8712052174,-5.8688856044
geo_05,44,-0.9407561694,-5.9671313722
geo_05,45,-0.0000000000,-6.0000000000
geo_05,46,0.9407561694,-5.9671313722
geo_05,47,1.8712052174,-5.8688856044
geo_05,48,2.7811529494,-5.7063390978
geo_05,49,3.6606297877,-5.4812727459
geo_05,50,4.5000000000,-5.1961524227
geo_05,51,5.2900672706,-4.8541019662
geo_05,52,6.0221754572,-4.4588689529
geo_05,53,6.6883034293,-4.0147836382
geo_05,54,7.2811529494,-3.5267115138
geo_05,55,7.7942286341,-3.0000000000
geo_05,56,8.2219091188,-2.4404198585
geo_05,57,8.5595086467,-1.8541019662
geo_05,58,8.8033284066,-1.2474701449
geo_05,59,8.9506970583,-0.6271707796
geo_06,0,0.0000000000,0.0000000000
geo_06,1,0.1681642393,0.1672430180
geo_06,2,0.3400075036,0.3325775239
geo_06,3,0.5192176267,0.4938053073
geo_06,4,0.7094635746,0.6481272259
