pattern_id,point_index,x,z
geo_01,0,0.0000000000,2.1000000000
geo_01,1,2.8789600865,3.9817723086
geo_01,2,5.4481633907,5.1644967660
geo_01,3,7.4431945731,5.6631189606
geo_01,4,8.6828404121,5.6073956141
geo_01,5,9.0932667397,5.1813466521
geo_01,6,8.7146439971,4.5573956141
geo_01,7,7.6893441854,3.8444656127
geo_01,8,6.2339623497,3.0644967660
geo_01,9,4.6001472310,2.1631189606
geo_01,10,3.0310889132,1.0500000000
geo_01,11,1.7211871446,-0.3444656127
geo_01,12,0.7857989590,-2.0144967660
geo_01,13,0.2461496124,-3.8444656127
geo_01,14,0.0318035850,-5.6073956141
geo_01,15,0.0000000000,-7.0000000000
geo_01,16,-0.0318035850,-7.7073956141
geo_01,17,-0.2461496124,-7.4817723086
geo_01,18,-0.7857989590,-6.2144967660
geo_01,19,-1.7211871446,-3.9817723086
geo_01,20,-3.0310889132,-1.0500000000
geo_01,21,-4.6001472310,2.1631189606
geo_01,22,-6.2339623497,5.1644967660
geo_01,23,-7.6893441854,7.4817723086
geo_01,24,-8.7146439971,8.7573956141
geo_01,25,-9.0932667397,8.8186533479
geo_01,26,-8.6828404121,7.7073956141
geo_01,27,-7.4431945731,5.6631189606
geo_01,28,-5.4481633907,3.0644967660
geo_01,29,-2.8789600865,0.3444656127
geo_01,30,-0.0000000000,-2.1000000000
geo_01,31,2.8789600865,-3.9817723086
geo_01,32,5.4481633907,-5.1644967660
geo_01,33,7.4431945731,-5.6631189606
geo_01,34,8.6828404121,-5.6073956141
geo_01,35,9.0932667397,-5.1813466521
geo_01,36,8.7146439971,-4.5573956141
geo_01,37,7.6893441854,-3.8444656127
geo_01,38,6.2339623497,-3.0644967660
geo_01,39,4.6001472310,-2.1631189606
geo_01,40,3.0310889132,-1.0500000000
geo_01,41,1.7211871446,0.3444656127
geo_01,42,0.7857989590,2.0144967660
geo_01,43,0.2461496124,3.8444656127
geo_01,44,0.0318035850,5.6073956141
geo_01,45,0.0000000000,7.0000000000
