pattern_id,point_index,x,z
pat_01,0,4.312243061518916,3.3788196231305307
pat_01,1,3.764050785498297,3.5684538687666802
pat_01,2,3.2158585094776786,3.7580881144028306
pat_01,3,2.667666233457059,3.9477223600389797
pat_01,4,2.1194739574364396,4.137356606
pat_01,5,1.5712816814158208,4.326990851311279
pat_01,6,1.0230894053952049,4.516625096947428
pat_01,7,0.47489712937458656,4.706259342583578
pat_01,8,-0.073295147,4.895893588219728
pat_01,9,-0.621487423,5.085527833855876
pat_01,10,-1.169679699,5.275162079492025
pat_01,11,-1.717871975,5.464796325128176
pat_01,12,-2.155697528,5.3028942426396215
pat_01,13,-2.49712809,4.833958117270261
pat_01,14,-2.838558653,4.365021991900897
pat_01,15,-3.179989215,3.896085866531531
pat_01,16,-3.521419777,3.427149741162167
pat_01,17,-3.86285034,2.9582136157928027
pat_01,18,-4.204280902,2.4892774904234436
pat_01,19,-4.545711465,2.0203413650540796
pat_01,20,-4.887142027,1.5514052396847164
pat_01,21,-5.228572589,1.0824691143153546
pat_01,22,-5.570003152,0.6135329889459943
pat_01,23,-5.551256619,0.13053258026023107
pat_01,24,-5.247432184,-0.36359962
pat_01,25,-4.943607749,-0.85773182
pat_01,26,-4.639783314,-1.351864021
pat_01,27,-4.335958879,-1.845996221
pat_01,28,-4.032134444,-2.340128421
pat_01,29,-3.728310009,-2.834260622
pat_01,30,-3.424485575,-3.328392822
pat_01,31,-3.12066114,-3.822525022
pat_01,32,-2.636969532,-4.123565147
pat_01,33,-2.12255859,-4.391627269
pat_01,34,-1.608147648,-4.659689391
pat_01,35,-1.093736706,-4.927751513
pat_01,36,-0.579325764,-5.195813634
pat_01,37,-0.064914821,-5.463875756
pat_01,38,0.449496121,-5.731937878
pat_01,39,0.9639070628935095,-6
pat_01,40,1.4245819016982548,-5.723536865
pat_01,41,1.8766734132576643,-5.360096108
pat_01,42,2.3287649248170776,-4.996655351
pat_01,43,2.780856436376487,-4.633214594
pat_01,44,3.232947948,-4.269773837
pat_01,45,3.6850394594953086,-3.90633308
pat_01,46,4.1371309710547175,-3.542892323
pat_01,47,4.589222482614131,-3.179451566
pat_01,48,5.0413139941735405,-2.81601081
pat_01,49,5.225765385692362,-2.349449646
pat_01,50,5.134413153275014,-1.776622719
pat_01,51,5.043060920857668,-1.203795792
pat_01,52,4.951708688440323,-0.630968866
pat_01,53,4.860356456022978,-0.058141939
pat_01,54,4.769004223605633,0.5146849883802107
pat_01,55,4.677651991188291,1.087511915330277
pat_01,56,4.586299758770944,1.660338842280348
pat_01,57,4.494947526,2.2331657692304185
pat_01,58,4.403595293936258,2.8059926961804744
pat_01,59,4.312243061518916,3.3788196231305307
pat_02,0,4.296881684423968,4.738657809427956
pat_02,1,3.8198619558800417,5.086190521723894
pat_02,2,3.2767810378120155,5.317887771856219
pat_02,3,2.6984443612090283,5.438402759
pat_02,4,2.1079080730787405,5.462256026
pat_02,5,1.5194282180244656,5.405689199109918
pat_02,6,0.9410225957003774,5.282860641315389
pat_02,7,0.3770296423306387,5.104997383948358
pat_02,8,-0.170219774,4.880731999923551
pat_02,9,-0.699449095,4.6166702193862745
pat_02,10,-1.209887246,4.317857557273807
pat_02,11,-1.701003404,3.988225818356177
pat_02,12,-2.172314464,3.630833847897337
pat_02,13,-2.623297205,3.2481004695050677
pat_02,14,-3.053315905,2.8419496384839453
pat_02,15,-3.46155674,2.413912563887314
pat_02,16,-3.846998556,1.965236400121781
pat_02,17,-4.208329944,1.4969282572027907
pat_02,18,-4.543888167,1.0098265504319381
pat_02,19,-4.851563273,0.5046588824447643
pat_02,20,-5.12868917,-0.017879213
pat_02,21,-5.371844885,-0.557045676
pat_02,22,-5.5766404,-1.111892466
pat_02,23,-5.737392169,-1.681024782
pat_02,24,-5.846698923,-2.262177141
pat_02,25,-5.894958536,-2.851458639
pat_02,26,-5.869939509,-3.442043923
pat_02,27,-5.757031515,-4.022056418
pat_02,28,-5.54150663,-4.571929679
pat_02,29,-5.214597227,-5.063435644
pat_02,30,-4.782284456,-5.465165461
pat_02,31,-4.268156187,-5.755199931
pat_02,32,-3.703974969,-5.929874293
pat_02,33,-3.117250932,-6
pat_02,34,-2.52641933,-5.981698437
pat_02,35,-1.942254808,-5.890410512
pat_02,36,-1.370668577,-5.738834752
pat_02,37,-0.814837848,-5.536832461
pat_02,38,-0.276479966,-5.29195095
pat_02,39,0.24343026668547368,-5.009960656
pat_02,40,0.744268873,-4.695309239
pat_02,41,1.2255463318631907,-4.351462832
pat_02,42,1.686764236571408,-3.981131307
pat_02,43,2.1273514678773533,-3.586472239
pat_02,44,2.5465936379070375,-3.169205302
pat_02,45,2.943582386417984,-2.730712143
pat_02,46,3.317148695848163,-2.272102514
pat_02,47,3.665825072136502,-1.794300195
pat_02,48,3.987739285993342,-1.298080108
pat_02,49,4.280517329398122,-0.784141219
pat_02,50,4.541143953359258,-0.253189361
pat_02,51,4.765736788637301,0.29395811140466005
pat_02,52,4.949320342243389,0.8561626692447861
pat_02,53,5.085400116684343,1.431667390997818
pat_02,54,5.165537430601927,2.0175154339783137
pat_02,55,5.178853142597523,2.6085577654149987
pat_02,56,5.1118141211054375,3.1957611846301766
pat_02,57,4.949266443842445,3.7637184245063655
pat_02,58,4.678417154618661,4.288371797520842
pat_02,59,4.296881684423969,4.738657809427955
pat_03,0,0.6762122132870567,0.5442561063202391
pat_03,1,0.7558111309037829,1.2366137164479745
pat_03,2,0.6652524923185226,1.922785596465685
pat_03,3,0.11320410142958631,2.266914797248593
pat_03,4,-0.55414348,2.080392246651521
pat_03,5,-1.162045129,1.739704409598402
pat_03,6,-1.730928535,1.3365535088541147
pat_03,7,-2.271191519,0.8956527105712013
pat_03,8,-2.786017197,0.4252776780801412
pat_03,9,-3.27196056,-0.07481452
pat_03,10,-3.706304827,-0.619649413
pat_03,11,-3.584547094,-1.054424779
pat_03,12,-2.928847697,-0.820537267
pat_03,13,-2.297749337,-0.523768274
pat_03,14,-1.672720243,-0.21432429
pat_03,15,-1.046664414,0.093030306
pat_03,16,-0.414537345,0.3876478730951773
pat_03,17,0.2290105793202981,0.6562441150284948
pat_03,18,0.8911961440794411,0.8740969186096474
pat_03,19,1.579374761391684,0.9726921025103185
pat_03,20,2.182786709770919,0.687437833
pat_03,21,2.2802419130457925,0.009614533
pat_03,22,2.1208106806290044,-0.668194059
pat_03,23,1.8691391740589771,-1.318348008
pat_03,24,1.567710879511922,-1.947155119
pat_03,25,1.2317687580207157,-2.55826836
pat_03,26,0.8662207481692246,-3.152147657
pat_03,27,0.4668128790950481,-3.723708789
pat_03,28,-0.018359086,-4.216302232
pat_03,29,-0.008348615,-3.594954491
pat_03,30,0.2019556158426158,-2.930041553
pat_03,31,0.4260839842940142,-2.269599234
pat_03,32,0.6469700852903574,-1.608070081
pat_03,33,0.8540716357564768,-0.942116613
pat_03,34,1.0351571629084206,-0.268675523
pat_03,35,1.169189163355218,0.41550637343115887
