patternId,stage,recallPercent,testNumber
test_01,1,100.0,1
test_01,2,100.0,2
test_02,2,100.0,1
test_01,3,83.3,3
test_02,3,83.3,2
test_03,3,83.3,1
test_01,4,85.7,4
test_02,4,85.7,3
test_03,4,85.7,2
test_04,4,85.7,1
test_01,5,90.0,5
test_02,5,90.0,4
test_03,5,90.0,3
test_04,5,90.0,2
test_05,5,90.0,1
test_01,6,83.3,6
test_02,6,83.3,5
test_03,6,83.3,4
test_04,6,83.3,3
test_05,6,83.3,2
test_06,6,75.0,1
test_01,7,86.7,7
test_02,7,86.7,6
test_03,7,86.7,5
test_04,7,86.7,4
test_05,7,86.7,3
test_06,7,73.3,2
test_07,7,46.7,1
test_01,1,100.0,8
test_01,2,100.0,9
test_02,2,100.0,7
test_01,3,83.3,10
test_02,3,100.0,8
test_03,3,100.0,6
test_01,4,85.7,11
test_02,4,100.0,9
test_03,4,100.0,7
test_04,4,85.7,5
test_01,5,90.0,12
test_02,5,100.0,10
test_03,5,100.0,8
test_04,5,90.0,6
test_05,5,90.0,4
test_01,6,91.7,13
test_02,6,100.0,11
test_03,6,100.0,9
test_04,6,91.7,7
test_05,6,83.3,5
test_06,6,83.3,3
test_01,7,86.7,14
test_02,7,93.3,12
test_03,7,100.0,10
test_04,7,86.7,8
test_05,7,86.7,6
test_06,7,86.7,4
test_07,7,86.7,2
test_01,1,100.0,15
test_01,2,100.0,16
test_02,2,100.0,13
test_01,3,83.3,17
test_02,3,83.3,14
test_03,3,83.3,11
test_01,4,85.7,18
test_02,4,85.7,15
test_03,4,85.7,12
test_04,4,85.7,9
test_01,5,90.0,19
test_02,5,90.0,16
test_03,5,90.0,13
test_04,5,90.0,10
test_05,5,90.0,7
test_01,6,83.3,20
test_02,6,83.3,17
test_03,6,83.3,14
test_04,6,83.3,11
test_05,6,83.3,8
test_06,6,58.3,5
test_01,7,86.7,21
test_02,7,86.7,18
test_03,7,86.7,15
test_04,7,86.7,12
test_05,7,86.7,9
test_06,7,60.0,6
test_07,7,40.0,3
test_01,1,100.0,22
test_01,2,100.0,23
test_02,2,100.0,19
test_01,3,83.3,24
test_02,3,100.0,20
test_03,3,100.0,16
test_01,4,85.7,25
test_02,4,100.0,21
test_03,4,100.0,17
test_04,4,85.7,13
test_01,5,90.0,26
test_02,5,100.0,22
test_03,5,90.0,18
test_04,5,90.0,14
test_05,5,90.0,10
test_01,6,83.3,27
test_02,6,91.7,23
test_03,6,91.7,19
test_04,6,91.7,15
test_05,6,83.3,11
test_06,6,75.0,7
test_01,7,86.7,28
test_02,7,93.3,24
test_03,7,93.3,20
test_04,7,86.7,16
test_05,7,80.0,12
test_06,7,73.3,8
test_07,7,80.0,4
geo_01,1,100.0,1
geo_01,2,95.0,2
geo_02,2,90.0,1
geo_01,3,83.3,3
geo_02,3,91.7,2
geo_03,3,91.7,1
geo_01,4,86.7,4
geo_02,4,93.3,3
geo_03,4,93.3,2
geo_04,4,93.3,1
geo_01,5,90.5,5
geo_02,5,85.0,4
geo_03,5,85.0,3
geo_04,5,95.0,2
geo_05,5,85.0,1
geo_01,6,85.0,6
geo_02,6,80.0,5
geo_03,6,90.0,4
geo_04,6,95.0,3
geo_05,6,95.0,2
geo_06,6,85.0,1
geo_01,7,75.0,7
geo_02,7,85.0,6
geo_03,7,90.0,5
geo_04,7,95.0,4
geo_05,7,95.0,3
geo_06,7,85.0,2
geo_07,7,85.0,1
geo_01,8,80.6,8
geo_02,8,90.3,7
geo_03,8,93.5,6
geo_04,8,87.1,5
geo_05,8,87.1,4
geo_06,8,87.1,3
geo_07,8,77.4,2
geo_08,8,93.5,1
geo_01,1,100.0,9
geo_01,2,100.0,10
geo_02,2,100.0,8
geo_01,3,100.0,11
geo_02,3,100.0,9
geo_03,3,100.0,7
geo_01,4,100.0,12
geo_02,4,100.0,10
geo_03,4,100.0,8
geo_04,4,100.0,6
geo_01,5,90.0,13
geo_02,5,100.0,11
geo_03,5,100.0,9
geo_04,5,100.0,7
geo_05,5,95.0,5
geo_01,6,95.0,14
geo_02,6,100.0,12
geo_03,6,100.0,10
geo_04,6,95.0,8
geo_05,6,95.0,6
geo_06,6,100.0,4
geo_01,7,90.0,15
geo_02,7,95.0,13
geo_03,7,100.0,11
geo_04,7,95.0,9
geo_05,7,90.0,7
geo_06,7,95.0,5
geo_07,7,80.0,3
geo_01,8,90.3,16
geo_02,8,96.8,14
geo_03,8,96.8,12
geo_04,8,93.5,10
geo_05,8,90.3,8
geo_06,8,93.5,6
geo_07,8,83.9,4
geo_08,8,96.8,2
