patternId,stage,recallPercent,testNumber
test_01,1,100.0,1
test_01,2,100.0,2
test_02,2,100.0,1
test_01,3,83.3,3
test_02,3,83.3,2
test_03,3,83.3,1
test_01,4,85.7,4
test_02,4,85.7,3
test_03,4,85.7,2
test_04,4,85.7,1
test_01,5,90.0,5
test_02,5,90.0,4
test_03,5,90.0,3
test_04,5,90.0,2
test_05,5,90.0,1
test_01,6,83.3,6
test_02,6,83.3,5
test_03,6,83.3,4
test_04,6,83.3,3
test_05,6,83.3,2
test_06,6,75.0,1
test_01,7,86.7,7
test_02,7,86.7,6
test_03,7,86.7,5
test_04,7,86.7,4
test_05,7,86.7,3
test_06,7,73.3,2
test_07,7,46.7,1
test_01,1,100.0,8
test_01,2,100.0,9
test_02,2,100.0,7
test_01,3,83.3,10
test_02,3,100.0,8
test_03,3,100.0,6
test_01,4,85.7,11
test_02,4,100.0,9
test_03,4,100.0,7
test_04,4,85.7,5
test_01,5,90.0,12
test_02,5,100.0,10
test_03,5,100.0,8
test_04,5,90.0,6
test_05,5,90.0,4
test_01,6,91.7,13
test_02,6,100.0,11
test_03,6,100.0,9
test_04,6,91.7,7
test_05,6,83.3,5
test_06,6,83.3,3
test_01,7,86.7,14
test_02,7,93.3,12
test_03,7,100.0,10
test_04,7,86.7,8
test_05,7,86.7,6
test_06,7,86.7,4
test_07,7,86.7,2
test_01,1,100.0,15
test_01,2,100.0,16
test_02,2,100.0,13
test_01,3,83.3,17
test_02,3,83.3,14
test_03,3,83.3,11
test_01,4,85.7,18
test_02,4,85.7,15
test_03,4,85.7,12
test_04,4,85.7,9
test_01,5,90.0,19
test_02,5,90.0,16
test_03,5,90.0,13
test_04,5,90.0,10
test_05,5,90.0,7
test_01,6,83.3,20
test_02,6,83.3,17
test_03,6,83.3,14
test_04,6,83.3,11
test_05,6,83.3,8
test_06,6,58.3,5
test_01,7,86.7,21
test_02,7,86.7,18
test_03,7,86.7,15
test_04,7,86.7,12
test_05,7,86.7,9
test_06,7,60.0,6
test_07,7,40.0,3
